[2026-08-25T14:21:29.049Z] GET http://localhost:8899/ → 200 (11ms, 28985B)
[2026-08-25T14:21:29.072Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (22ms, 46248B)
[2026-08-25T14:21:29.072Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (22ms, 48432B)
[2026-08-25T14:21:29.072Z] GET http://localhost:8899/styles.css → 200 (20ms, 26678B)
[2026-08-25T14:21:29.072Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (19ms, 4513B)
[2026-08-25T14:21:29.072Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (21ms, 11313B)
[2026-08-25T14:21:29.073Z] GET http://localhost:8899/script.js → 200 (21ms, 6674B)
[2026-08-25T14:21:37.232Z] GET http://localhost:8899/ → 200 (2ms, -188B)
[2026-08-25T14:21:37.242Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (2ms, -189B)
[2026-08-25T14:21:37.244Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:21:37.245Z] GET http://localhost:8899/styles.css → 304 (4ms, ?B)
[2026-08-25T14:21:37.245Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (1ms, -191B)
[2026-08-25T14:21:37.246Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:21:37.246Z] GET http://localhost:8899/script.js → 304 (2ms, ?B)
[2026-08-25T14:21:39.012Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:21:39.017Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:21:39.017Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:21:39.017Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:21:39.019Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:21:39.019Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:21:39.019Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:21:40.672Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:21:40.676Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
